sys_sch,SystemId,SystemName,SchoolName,SchoolId,Cluster,total_enroll,Grade,SingleScore,Third_Grade_Reading,Fifth_Grade_Reading,Eighth_Grade_Reading,College_Readiness,Accelerated_Course_Taking,Four_Year_Graduation_Rate,CollegeEnrollment
668106,668,Habersham County,9th Grade Academy,106,H,498,B,86.5,,,,,,,
660390,660,Fulton County,A. Philip Randolph Elementary School,390,E,562,C,73.2,,,,,,,
781188,781,Marietta City,A.L. Burruss Elementary School,188,E,490,C,73.3,,,,,,,
706115,706,Muscogee County,Aaron Cohn Middle School,115,M,559,B,86,,,,,,,
660101,660,Fulton County,Abbotts Hill Elementary School,101,E,698,A,91.5,,,,,,,
611117,611,Bibb County,Academy For Classical Education,117,EMH,1394,A,91.60000000000000,,,,,,,
7214060,721,Richmond County,Academy of Richmond County High School,4060,H,1317,D,69.7,,,,46.8,45.7,86.40000000000000,
633302,633,Cobb County,Acworth Elementary School,302,E,716,C,75.40000000000000,,,,,,,
608177,608,Bartow County,Adairsville Elementary School,177,E,659,C,77.10000000000000,,,,,,,
608105,608,Bartow County,Adairsville High School,105,H,973,D,68.8,,,,54.40000000000000,40,84,
608301,608,Bartow County,Adairsville Middle School,301,M,756,C,71.3,,,,,,,
631177,631,Clayton County,Adamson Middle School,177,M,603,D,69.8,,,,,,,
633289,633,Cobb County,Addison Elementary School,289,E,603,A,93.30000000000000,,,,,,,
647101,647,Dougherty County,Albany Middle School,101,M,797,D,67.2,,,,,,,
6671005,667,Gwinnett County,Alcova Elementary School,1005,E,1281,C,76.80000000000000,,,,,,,
707206,707,Newton County,Alcovy High School,206,H,1993,C,77.40000000000000,,,,43.40000000000000,50.90000000000000,81.80000000000000,
648187,648,Douglas County,Alexander High School,187,H,1805,B,86,,,,59,50.1,93.60000000000000,
6111050,611,Bibb County,Alexander II Magnet School,1050,E,496,B,89.30000000000000,,,,,,,
6671105,667,Gwinnett County,Alford Elementary School,1105,E,940,C,75,,,,,,,
6252052,625,Chatham County,Alfred Ely Beach High School,2052,H,978,C,73.2,,,,22,26.5,84.90000000000000,
647299,647,Dougherty County,Alice Coachman Elementary School,299,E,502,F,50.7,,,,,,,
608196,608,Bartow County,Allatoona Elementary School,196,E,413,D,64.7,,,,,,,
633209,633,Cobb County,Allatoona High School,209,H,1715,A,95.30000000000000,,,,74.2,57.2,90.10000000000000,
7064065,706,Muscogee County,Allen Elementary School,4065,E,469,D,66.2,,,,,,,
710299,710,Paulding County,Allgood Elementary School,299,E,840,C,71.2,,,,,,,
